column,dtype,missing_count,missing_percentage,unique_count,present_percentage,is_constant,non_finite_count,minimum,maximum,mean,median,example_values,available_machine_id_count,total_machine_id_count,machine_id_availability_percentage,unavailable_machine_ids,available_run_id_count,total_run_id_count,run_id_availability_percentage,unavailable_run_ids,proposed_role,keep_in_dataset,use_as_model_feature_initially,reason
cpu_frequency_mhz,float64,0,0.0,4,100.0,False,0,1101.0,3504.0,2431.6051708039536,2803.0,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
ram_pct,float64,0,0.0,581,100.0,False,0,29.7,99.1,69.15091599858334,75.6,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
ram_used_mb,float64,0,0.0,23256,100.0,False,0,4758.6,16888.3,8803.316082294989,8168.8,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
ram_available_mb,float64,0,0.0,22388,100.0,False,0,159.4,11967.4,5266.317144788951,4184.9,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
swap_pct,float64,0,0.0,190,100.0,False,0,0.0,70.5,24.89048906919089,12.3,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
swap_used_mb,float64,0,0.0,1853,100.0,False,0,0.0,5203.2,1475.2879519623941,1511.4,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
disk_usage_pct,float64,0,0.0,19,100.0,False,0,3.0,63.1,25.886142502978203,14.0,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
disk_free_gb,float64,0,0.0,571,100.0,False,0,175.62,410.75,323.27849576612255,388.9,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
disk_read_mb_s,float64,11,0.0354,11192,99.9646,False,11,0.0,556.882,2.1070974201236794,0.1331,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
disk_write_mb_s,float64,10,0.0322,11505,99.9678,False,10,0.0102,495.7592,1.753628970337209,0.1882,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
disk_latency_ms,float64,11,0.0354,1096,99.9646,False,11,0.0,55.888,0.1711134050502448,0.0,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
net_sent_mb_s,float64,10,0.0322,868,99.9678,False,10,0.0,4.871,0.0058958484975361524,0.0005,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
net_recv_mb_s,float64,10,0.0322,3661,99.9678,False,10,0.0,7.1469,0.10578654385004348,0.001,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
network_latency_ms,float64,5404,17.3991,21203,82.6009,False,5404,22.267,1001.251,77.83440261157669,52.254,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
process_count,int64,0,0.0,339,100.0,False,0,187.0,586.0,313.7854728098136,300.0,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
thread_count,int64,0,0.0,2679,100.0,False,0,1311.0,5303.0,2557.952670723462,2628.0,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
context_switches_per_s,float64,7427,23.9126,21788,76.0874,False,7427,0.0,191640.6,16899.659368652672,8019.65,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
temperature_c,float64,12726,40.9736,64,59.0264,False,12726,33.05,80.0,61.45295096274477,61.0,,2,3,66.6667,"[""0890dcc046c079acc4de4202""]",8,10,80.0,"[""6835f125-a038-4092-beff-5107ae998b39"", ""89cdc34b-e02b-43b4-9284-144276df508a""]",candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
gpu_usage_pct,float64,12386,39.8789,350,60.1211,False,12386,0.0,70.6,4.208793445081134,3.0,,2,3,66.6667,"[""0890dcc046c079acc4de4202""]",8,10,80.0,"[""6835f125-a038-4092-beff-5107ae998b39"", ""89cdc34b-e02b-43b4-9284-144276df508a""]",candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
gpu_per_device_json,str,0,0.0,558,100.0,False,,,,,,"[""[]"", ""[{\""name\"": \""Intel(R) HD Graphics 620\"", \""usage_pct\"": 4.7}]"", ""[{\""name\"": \""Intel(R) HD Graphics 620\"", \""usage_pct\"": 3.3}]""]",3,3,100.0,[],10,10,100.0,[],review_needed,True,False,Meaning or representation requires manual review; no feature-use decision is guessed.
battery_pct,float64,0,0.0,90,100.0,False,0,5.0,94.0,48.46801249235326,47.0,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
battery_plugged,int64,0,0.0,2,100.0,False,0,0.0,1.0,0.4247078141601468,0.0,,3,3,100.0,[],10,10,100.0,[],candidate_feature,True,True,Numeric system measurement available as an initial predictor candidate; validate missingness and stability before modeling.
sensor_errors_json,str,0,0.0,8,100.0,False,,,,,,"[""{\""network_latency\"": \""TimeoutError: timed out\"", \""temperature\"": \""macmon_not_installed (install with: brew install macmon)\"""", ""{\""temperature\"": \""macmon_not_installed (install with: brew install macmon)\""}"", ""{}""]",3,3,100.0,[],10,10,100.0,[],diagnostic,True,False,"Quality or sensor-health indicator useful for auditing observations, not an initial predictive feature."
missed_deadline,int64,0,0.0,2,100.0,False,0,0.0,1.0,0.044785730384107665,0.0,,3,3,100.0,[],10,10,100.0,[],target_related,True,False,Potential outcome or target-proxy field; keep for later label design but never use as an initial predictor.
legacy_id,float64,31059,100.0,0,0.0,True,31059,,,,,,0,3,0.0,"[""0890dcc046c079acc4de4202"", ""7232bc533c21ce408d45d473"", ""a0f8c86097e55fbfa506d057""]",0,10,0.0,"[""19127a70-e60c-4b47-b3e6-71e89175c174"", ""2e9f4457-2a7f-4647-87ed-b86ac6343d33"", ""373070d1-ba59-4244-88ab-2d44a21f4983"", ""6835f125-a038-4092-beff-5107ae998b39"", ""70577f8e-1430-4489-8602-2096521ab84e"", ""89cdc34b-e02b-43b4-9284-144276df508a"", ""d88b15dd-1915-43ca-90ef-69f31ff4d9c1"", ""ec61755d-b5be-42ac-875d-3123e92add7a"", ""f24e9c1a-f11e-405c-b663-45fa6e25c405"", ""fac82c2e-545a-402a-80f8-3d1fccb72c68""]",constant_unusable,False,False,"Has at most one observed value (including an entirely missing column), so it provides no usable variation."
sample_reliable,int64,0,0.0,2,100.0,False,0,0.0,1.0,0.4119900833896777,0.0,,3,3,100.0,[],10,10,100.0,[],diagnostic,True,False,"Quality or sensor-health indicator useful for auditing observations, not an initial predictive feature."
status,str,0,0.0,3,100.0,False,,,,,,"[""completed"", ""interrupted"", ""running""]",3,3,100.0,[],10,10,100.0,[],leakage_risk,True,False,May describe run completion or information known after/during the outcome; exclude until prediction timing is defined.
ended_at_utc,str,5431,17.4861,7,82.5139,False,,,,,,"[""2026-07-25T16:45:58.885Z"", ""2026-07-23T20:03:12.803Z"", ""2026-07-28T13:10:18.015Z""]",3,3,100.0,[],7,10,70.0,"[""19127a70-e60c-4b47-b3e6-71e89175c174"", ""ec61755d-b5be-42ac-875d-3123e92add7a"", ""fac82c2e-545a-402a-80f8-3d1fccb72c68""]",leakage_risk,True,False,May describe run completion or information known after/during the outcome; exclude until prediction timing is defined.
run_complete,int64,0,0.0,2,100.0,False,0,0.0,1.0,0.11590843233845262,0.0,,3,3,100.0,[],10,10,100.0,[],leakage_risk,True,False,May describe run completion or information known after/during the outcome; exclude until prediction timing is defined.
